series,date,state,sector,value
abs,01/01/2015,Johor,Overall GDP,110002.221
abs,01/01/2015,Johor,Agriculture,15610.314
abs,01/01/2015,Johor,Mining & Quarrying,475.64
abs,01/01/2015,Johor,Manufacturing,32358.659
abs,01/01/2015,Johor,Construction,7269.16
abs,01/01/2015,Johor,Services,53058.447
abs,01/01/2015,Johor,Import Duties,1230.001
abs,01/01/2015,Kedah,Overall GDP,39549.581
abs,01/01/2015,Kedah,Agriculture,5423.368
abs,01/01/2015,Kedah,Mining & Quarrying,83.056
abs,01/01/2015,Kedah,Manufacturing,11427.051
abs,01/01/2015,Kedah,Construction,862.638
abs,01/01/2015,Kedah,Services,21465.109
abs,01/01/2015,Kedah,Import Duties,288.359
abs,01/01/2015,Kelantan,Overall GDP,21407.736
abs,01/01/2015,Kelantan,Agriculture,5101.864
abs,01/01/2015,Kelantan,Mining & Quarrying,229.021
abs,01/01/2015,Kelantan,Manufacturing,1147.468
abs,01/01/2015,Kelantan,Construction,444.65
abs,01/01/2015,Kelantan,Services,14454.747
abs,01/01/2015,Kelantan,Import Duties,29.985
abs,01/01/2015,Melaka,Overall GDP,36077.257
abs,01/01/2015,Melaka,Agriculture,4141.42
abs,01/01/2015,Melaka,Mining & Quarrying,43.988
abs,01/01/2015,Melaka,Manufacturing,14068.303
abs,01/01/2015,Melaka,Construction,947.012
abs,01/01/2015,Melaka,Services,16810.973
abs,01/01/2015,Melaka,Import Duties,65.56
abs,01/01/2015,Negeri Sembilan,Overall GDP,40185.677
abs,01/01/2015,Negeri Sembilan,Agriculture,3235.335
abs,01/01/2015,Negeri Sembilan,Mining & Quarrying,165.377
abs,01/01/2015,Negeri Sembilan,Manufacturing,15678.075
abs,01/01/2015,Negeri Sembilan,Construction,1339.339
abs,01/01/2015,Negeri Sembilan,Services,18950.586
abs,01/01/2015,Negeri Sembilan,Import Duties,816.964
abs,01/01/2015,Pahang,Overall GDP,49449.712
abs,01/01/2015,Pahang,Agriculture,11665.23
abs,01/01/2015,Pahang,Mining & Quarrying,1311.294
abs,01/01/2015,Pahang,Manufacturing,10416.952
abs,01/01/2015,Pahang,Construction,2105.062
abs,01/01/2015,Pahang,Services,23884.728
abs,01/01/2015,Pahang,Import Duties,66.445
abs,01/01/2015,Perak,Overall GDP,63175.555
abs,01/01/2015,Perak,Agriculture,10351.594
abs,01/01/2015,Perak,Mining & Quarrying,354.095
abs,01/01/2015,Perak,Manufacturing,11190.469
abs,01/01/2015,Perak,Construction,2578.368
abs,01/01/2015,Perak,Services,38627.926
abs,01/01/2015,Perak,Import Duties,73.103
abs,01/01/2015,Perlis,Overall GDP,5352.875
abs,01/01/2015,Perlis,Agriculture,1161.077
abs,01/01/2015,Perlis,Mining & Quarrying,31.698
abs,01/01/2015,Perlis,Manufacturing,458.197
